Produto Buscado,Produto Encontrado (Semar),Produto Encontrado (Rossi),Produto Encontrado (Shibata),Preço (Semar),Status (Semar),Preço (Rossi),Status (Rossi),Preço (Shibata),Status (Shibata)
Alface Americana,Alface Americana Benverde 1 Unidade,Alface Americana Band Un,Alface Americana - 1 Unidade,4.89,OK,7.49,OK,5.99,OK
Alface Crespa,Alface Crespa Benverde 1 Unidade,Alface Crespa Un,Alface Crespa - 1 Unidade,3.99,OK,,Indisponível,4.49,OK
Alface Crespa Hidropônica,Alface Crespa Benverde Hidropônica 1 Unidade,,Alface Crespa Hidropônica Mizuguchi - 1 Unidade,3.99,OK,,Não encontrado,,Indisponível
Alface Crespa Roxo,,,,,Não encontrado,,Não encontrado,,Não encontrado
Alface Lisa,,Alface Lisa,Alface Lisa - 1 Unidade,,Não encontrado,,Indisponível,4.49,OK
Alface Lisa Hidropônica,Alface Lisa Benverde Hidroponica Un,Alface Lisa Hidropônica,Alface Lisa Hidropônica - 1 Unidade,,Indisponível,5.49,OK,,Indisponível
Alface Lisa Higienizado,,,,,Não encontrado,,Não encontrado,,Não encontrado
Alface Mimosa Hidropônica,Alface Mimosa Benverde Hidroponica Un,,Alface Mimosa Hidropônica Mizuguchi - 1 Unidade,,Indisponível,,Não encontrado,,Indisponível
Brocolis,Brocolis Ninja Benverde 280g,Brócolis Comum,Brócolis Ninja - 1 Unidade,,Indisponível,,Indisponível,,Indisponível
Couve,Couve Flor Benverde 280g,Couve Manteiga,Couve Manteiga - 1 Unidade,8.99,OK,3.99,OK,3.99,OK
Couve Flor,,Couve Flor Un Hortella,,,Não encontrado,,Indisponível,,Não encontrado
Couve Higienizado,Couve Manteiga Higienizado Benverde 200g,,,6.99,OK,,Não encontrado,,Não encontrado
Repolho Roxa,,,,,Não encontrado,,Não encontrado,,Não encontrado
Repolho Verde,,Repolho Verde Kg,,,Não encontrado,4.59,OK,,Não encontrado
Abobrinha Italiana,Abobrinha Italiana Benverde Bdj 600g ,,Abobrinha Italiana - 1 Unidade,,Indisponível,,Não encontrado,6.00,OK
Batata Doce Rosada,Batata Doce Rosada 800g (aproximadamente 2 Unidades),Batata Doce Rosada 500g,Batata Doce Rosada - 900g (aprox. 1 Unidade),5.97,OK,6.98,OK,4.99,OK
Batata Lavada,Batata Lavada 500g (aproximadamente 2 Unidades),Batata Lavada 500g,Batata Lavada - 1 Unidade,2.00,OK,3.98,OK,5.00,OK
Beringela,,,,,Não encontrado,,Não encontrado,,Não encontrado
Beterraba,Beterraba Benverde Bdj 500g,Beterraba 700g,Beterraba - 1 Unidade,,Indisponível,6.49,OK,5.00,OK
Cebola,,Cebola 1kg,Cebola - 1 Unidade,,Não encontrado,2.98,OK,2.47,OK
Cenoura,Cenoura 500g (aproximadamente 3 Unidades),Cenoura 500g,Cenoura - 1 Unidade,5.00,OK,4.58,OK,5.00,OK
Chuchu,Chuchu 600g (aproximadamente 2 Unidades),Chuchu 750g,Chuchu - 1 Unidade,9.98,OK,7.99,OK,10.00,OK
Mandioca,Mandioca 700g,Mandioca 1kg,Mandioca Takagaki - 900g,3.99,OK,,Indisponível,6.69,OK
Pepino Comum,Pepino Comum 600g (aproximadamente 2 Unidades),Pepino Comum 500g,Pepino Comum - 1 Unidade,5.48,OK,4.98,OK,5.50,OK
Pepino Japones,Pepino Japonês Benverde Bdj 500g,Pepino Japones 500g,Pepino Japonês - 1 Unidade,,Indisponível,6.98,OK,5.00,OK
Pimentao Amarelo,Pimentão Amarelo 250g ,Pimentão Amarelo 500g,Pimentão Amarelo - 1 Unidade,21.88,OK,19.90,OK,,Indisponível
Pimentao Verde,,Pimentão Verde 500g,,,Não encontrado,9.90,OK,,Não encontrado
Pimentao Vermelho,Pimentão Vermelho 250g,Pimentão Vermelho 500g,Pimentão Vermelho - 1 Unidade,22.88,OK,19.90,OK,22.90,OK
Tomate,Tomate 200g ,Tomate Salada 500g,Tomate Longa Vida - 1 Unidade,4.00,OK,7.98,OK,7.00,OK
Tomate Italiano,,Tomate Italiano 500g,Tomate Italiano - 1 Unidade,,Não encontrado,7.98,OK,7.00,OK
Banana Nanica,Banana Nanica 1kg (aproximadamente 6 Unidades),Banana Nanica 500g,"Banana Nanica - 1,4Kg (Aprox. 6 Unidades)",6.98,OK,7.26,OK,6.99,OK
Banana Prata,,Banana Prata 500g,"Banana Prata - 1,1kg - Aprox. 8 Unidades",,Não encontrado,10.90,OK,8.99,OK
Banana Terra,"Banana Terra 1,1kg (aproximadamente 4 Unidades)",Banana Da Terra Kg,Banana da Terra - 750g - Aprox. 2 Unidades,12.79,OK,14.80,OK,12.91,OK
Goiaba,Goiaba Vermelha 600g ,Goiaba Vermelha 500g,Goiaba Vermelha - 1 Unidade,8.98,OK,6.98,OK,7.00,OK
Laranja Pera,,Laranja Pera 1kg,Laranja Pera - 1 Unidade,,Não encontrado,3.99,OK,5.00,OK
Limao,Limão 300g (aproximadamente 3 Unidades),Limão 500g,Limao Tahiti - 1 Unidade,3.00,OK,3.28,OK,3.00,OK
Maça Argentina,Maca Argentina 600g (aproximadamente 3 Unidades),Maça Argentina Red 600g,,17.90,OK,18.90,OK,,Não encontrado
Maça Fuji,Maca Fuji 500g (aproximadamente 3 Unidades),,Maçã Fuji - 1 Unidade,17.00,OK,,Não encontrado,16.00,OK
Maça Gala,Maçã Gala Nacional 500g (aproximadamente 3 Unidades),Maça Gala 1kg,Maçã Gala - 1 Unidade,14.90,OK,13.80,OK,11.00,OK
Maça Gransmith,,Maça Gransmith 500g,Maça Gransmith - 1 Unidade,,Não encontrado,18.90,OK,16.00,OK
Mamao Papaya,,Mamão Papaya 1kg,Mamão Papaya - 1 Unidade,,Não encontrado,8.90,OK,13.00,OK
Mamao Formosa,,"Mamão Formosa 1,8kg",Mamão Formosa - 1 Unidade,,Não encontrado,6.98,OK,5.99,OK
Manga Palmer,Manga Palmer 800g (aproximadamente 2 Unidades),Manga Palmer 1kg,Manga Palmer - 1 Unidade,2.99,OK,4.35,OK,3.98,OK
Manga Tommy,,Manga Tommy 1kg,Manga Tommy - 1 Unidade,,Não encontrado,5.98,OK,6.00,OK
Maracujá Azedo,Maracujá Azedo 600g (aproximadamente 2 Unidades),Maracujá Azedo 1kg,Maracujá Azedo - 1 Unidade,7.98,OK,12.90,OK,15.00,OK
Melao Amarelo,Melão Amarelo 2.5kg,"Melão Amarelo 2,3kg",Melão Amarelo - 1 Unidade,5.99,OK,5.98,OK,4.99,OK
Pera Willians,Pera Willians 400g (aproximadamente 2 Unidades),Pera Willians 500g,,15.00,OK,14.80,OK,,Não encontrado
,,,,,,,,,
Busca gerada em: 23/02/2026,,,,,,,,,
